Country,2022_Valuation,2023_Valuation,2024_Valuation,Avg Startup CAGR,Lat,Lng,Size,2022-23 CAGR,2023-24 CAGR,Artificial intelligence,E-commerce & direct-to-consumer,Fintech,Internet software & services,Data management & analytics,Edtech,Hardware,Consumer & retail,Health,"Supply chain, logistics, & delivery",Auto & transportation,Cybersecurity,Mobile & telecommunications,Travel,Internet,2022 Count,2023 Count,2024 Count
Philippines,1.0,1.0,1.0,0.0,14.5508249,120.7917034,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
Senegal,1.7,1.7,1.7,0.0,14.646453,-17.5490249,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Seychelles,10.0,10.0,10.0,0.0,-4.7832085,55.292359,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
Singapore,1.5961538461538463,1.6346153846153846,1.7115384615384615,4.914615384615384,43.6659926,-54.67232305555555,4.914615384615384,0.02409638554216859,0.047058823529411736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,16
South Africa,1.59,1.59,1.59,0.0,-26.0713889,28.0080556,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1
South Korea,2.206153846153846,2.323076923076923,2.366153846153846,1.9253846153846155,37.4285424,126.7644328,1.9253846153846155,0.052998605299860425,0.018543046357615868,0,3,1,2,0,0,0,1,0,1,0,0,2,1,1,17,14,14
Spain,1.5375,1.5375,1.5375,0.0,40.196038525,-1.534769575,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,4,5,5
Sweden,3.9240000000000004,3.9240000000000004,3.9240000000000004,0.0,59.2272559,17.7606917,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,8,7,6
Switzerland,2.0500000000000003,2.0500000000000003,2.0500000000000003,0.0,46.9220573,7.4543931,0.0,0.0,0.0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,6,6,6
Thailand,1.25,1.25,1.25,0.0,13.2191019,100.3278772,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,3
Turkey,5.256666666666667,4.516666666666667,4.516666666666667,4.8,40.846381,28.8158715,4.8,-0.14077362079898545,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,3,3
United Arab Emirates,2.025,2.025,2.025,0.0,25.1053471,55.1324914,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,5
United Kingdom,4.511627906976744,3.881860465116279,3.732325581395349,0.16302325581395327,51.610415976744186,-0.7749621860465117,0.16302325581395327,-0.13958762886597942,-0.03852144739995197,2,2,25,1,1,1,1,1,2,1,1,0,1,0,0,46,52,53
United States,3.236643717728055,3.2324096385542167,3.4046987951807233,2.3867986230636835,38.264731955267706,-103.7980898626943,2.3867986230636835,-0.0013081696791794354,0.053300533005330226,43,25,124,147,34,9,12,11,58,21,7,43,13,0,0,636,656,656
Vietnam,2.635,2.635,2.635,0.0,10.1399458,106.3567007,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2
